,examples,bert-base-multilingual-uncased,xlm-roberta-base,google/muril-large-cased,sentence-transformers/LaBSE,concat_XLM_LaBSE,multiply_XLM_LaBSE
0,"['The sun rises in the east.', 'Elephants are intelligent creatures.']",[[0.51830876]],[[0.99575526]],[[0.9125152]],[[0.13202727]],[[0.9932801]],[[0.60988194]]
1,"['i love cats', 'i love dogs']",[[0.966812]],[[0.9995593]],[[0.9658783]],[[0.9373624]],[[0.9932801]],[[0.60988194]]
2,"['में आज पेमेंट कर दूंगा', ""I'll make payment today""]",[[0.5628961]],[[0.99506414]],[[0.86679196]],[[0.9534264]],[[0.9932801]],[[0.60988194]]
3,"['में आज पेमेंट कर दूंगा', 'आज साम को ही कर दूंगा पेमेंट']",[[0.88884926]],[[0.99903774]],[[0.952119]],[[0.86270237]],[[0.9932801]],[[0.60988194]]
4,"[""i'll complete transaction by end of the day"", 'i will make payment today']",[[0.70899254]],[[0.997167]],[[0.90588737]],[[0.6288543]],[[0.9932801]],[[0.60988194]]
5,"['me aaj payment kar dunga', 'aaj saam se pehle payment ho jaye ga']",[[0.7154846]],[[0.99608314]],[[0.60462487]],[[0.71252567]],[[0.9932801]],[[0.60988194]]
6,"['do din pehle hi payment ho gaya ', 'payment is already completed 2 days back']",[[0.41329274]],[[0.99220085]],[[-0.67666674]],[[0.4188529]],[[0.9932801]],[[0.60988194]]
7,"['do din pehle hi payment ho gaya ', 'दो दिन पहले ही पेमेंट हो गया है']",[[0.4324294]],[[0.99329627]],[[-0.51547605]],[[0.44529393]],[[0.9932801]],[[0.60988194]]
8,"['आज नहीं कर पाउगा पेमेंट will do it tomorrow morning', 'aaj nahi kar payga payment will do it tomorrow morning']",[[0.7251013]],[[0.9950456]],[[-0.3034185]],[[0.665612]],[[0.9932801]],[[0.60988194]]
9,"['आज नहीं कर पाउगा पेमेंट will do it tomorrow morning', ""i'll not be able to do payment today will do it tomorrow morning""]",[[0.6734522]],[[0.99542135]],[[0.567041]],[[0.91145885]],[[0.9932801]],[[0.60988194]]
10,"['में गूगलपे से कर दूंगा', 'I will pay via googlepay']",[[0.51611906]],[[0.99637043]],[[0.88340235]],[[0.8007877]],[[0.9932801]],[[0.60988194]]
11,"['में गूगलपे से कर दूंगा', 'me googlepay se kar dunga']",[[0.4522512]],[[0.99478865]],[[-0.17708397]],[[0.6999971]],[[0.9932801]],[[0.60988194]]
12,"['me googlepay kar denga', 'i will pay using googlepay']",[[0.65438783]],[[0.99520475]],[[0.69350076]],[[0.77530384]],[[0.9932801]],[[0.60988194]]
13,"['में googlepay से कर दूंगा', 'I will pay via googlepay']",[[0.65804225]],[[0.99677545]],[[0.886293]],[[0.92275715]],[[0.9932801]],[[0.60988194]]
14,"['में googlepay से कर दूंगा', 'me googlepay se kar dunga']",[[0.5695174]],[[0.9952321]],[[0.04100528]],[[0.81334025]],[[0.9932801]],[[0.60988194]]
15,"['mera name ganesh he', 'My name is ganesh']",[[0.8628424]],[[0.9978698]],[[-0.37116796]],[[0.80365]],[[0.9932801]],[[0.60988194]]
16,"['में 31st august को कर दूंगा', 'me 31st august ko kar dunga']",[[0.62380624]],[[0.99615437]],[[0.06417519]],[[0.8192175]],[[0.9932801]],[[0.60988194]]
17,"['में 31st august को कर दूंगा', ""i'll do it by 31st august""]",[[0.66751325]],[[0.9968206]],[[0.7315647]],[[0.9588393]],[[0.9932801]],[[0.60988194]]
18,"['में पेमेंट नहीं करूँगा', ""i'll not do payment""]",[[0.6542227]],[[0.99630284]],[[0.790928]],[[0.97075427]],[[0.9932801]],[[0.60988194]]
19,"['में पेमेंट नहीं करूँगा', ""i'll do payment later""]",[[0.5818778]],[[0.9965709]],[[0.7940219]],[[0.774329]],[[0.9932801]],[[0.60988194]]
20,"['पेमेंट बाद में करूँगा', ""i'll not do payment""]",[[0.5954785]],[[0.9959558]],[[0.9137787]],[[0.7267952]],[[0.9932801]],[[0.60988194]]
21,"['पेमेंट बाद में करूँगा', ""i'll do payment later""]",[[0.58610404]],[[0.9968151]],[[0.91630363]],[[0.9339098]],[[0.9932801]],[[0.60988194]]
